year,fire_count,acres_burned
1984,142,984115
1985,256,2127242
1986,234,1364572
1987,378,2017956
1988,376,4268877
1989,261,1416876
1990,219,2474978
1991,277,1595015
1992,207,1247421
1993,192,1265738
1994,464,2408975
1995,253,1145218
1996,500,4583581
1997,152,642274
1998,298,1479720
1999,515,4931180
2000,661,6002688
2001,437,2443075
2002,418,5298508
2003,361,3476560
2004,284,7619875
2005,601,8367666
2006,799,7539942
2007,543,7682337
2008,457,3684688
2009,387,3324123
2010,294,1893000
2011,824,7763249
2012,569,8391919
2013,303,3809080
2014,267,2653338
2015,536,9061371
2016,518,4246348
2017,644,8900137
2018,525,7404648
2019,380,4186941
2020,467,9330236
2021,422,7069633
2022,530,6856430
2023,325,1944202
2024,331,4678193
2025,21,872388
2026,5,844382
