year,scope_start,scope_end,calendar_days,days_with_any_valid_site,distinct_monitor_sites,distinct_monitored_counties,distinct_monitored_states_dc,monitor_site_days,mean_valid_sites_per_day,p10_valid_sites_per_day,p50_valid_sites_per_day,p90_valid_sites_per_day,monitored_county_population_reference,monitored_county_population_share_pct,balanced_panel_sites_defined,balanced_panel_sites_observed,hms_days_with_polygons,hms_polygon_records
2006,2006-01-01,2006-12-31,365,365,1291,764,49,218217,597.855,348.0,362.0,1136.6,241419391,73.751,117,117,360,15443
2007,2007-01-01,2007-12-31,365,365,1282,754,49,249330,683.096,454.0,476.0,1166.0,242000499,73.928,117,117,362,19872
2008,2008-01-01,2008-12-31,366,366,1283,751,49,256528,700.896,486.0,501.0,1158.5,241262018,73.702,117,117,362,23277
2009,2009-01-01,2009-12-31,365,365,1309,759,49,274890,753.123,544.4,566.0,1187.2,241931472,73.907,117,117,363,23473
2010,2010-01-01,2010-12-31,365,365,1299,765,49,289285,792.562,598.0,626.0,1190.0,242466450,74.07,117,117,362,27230
2011,2011-01-01,2011-12-31,365,365,1256,753,49,287138,786.679,619.4,636.0,1131.6,238678760,72.913,117,117,364,33720
2012,2012-01-01,2012-12-31,366,366,1245,736,49,296530,810.191,650.0,668.0,1138.0,237965343,72.695,117,117,364,27966
2013,2013-01-01,2013-12-31,365,365,1248,738,49,303420,831.288,676.0,692.0,1144.6,237227872,72.47,117,117,360,23151
2014,2014-01-01,2014-12-31,365,365,1271,749,49,309013,846.611,697.0,712.0,1148.0,238704084,72.921,117,117,359,18562
2015,2015-01-01,2015-12-31,365,365,1288,767,49,317878,870.899,723.0,737.0,1168.6,239223163,73.08,117,117,360,16349
2016,2016-01-01,2016-12-31,366,366,1261,751,49,321679,878.904,734.0,755.0,1158.0,237374626,72.515,117,117,362,21267
2017,2017-01-01,2017-12-31,365,365,1274,749,49,332484,910.915,772.0,797.0,1169.0,237023854,72.408,117,117,364,26187
2018,2018-01-01,2018-12-31,365,365,1283,754,49,342644,938.751,813.0,832.0,1179.0,238985211,73.007,117,117,365,41294
2019,2019-01-01,2019-12-31,365,365,1282,755,49,350749,960.956,845.0,864.0,1186.0,239432937,73.144,117,117,365,42951
2020,2020-01-01,2020-12-31,366,366,1262,745,49,353934,967.033,863.0,880.0,1170.5,237787320,72.641,117,117,366,45287
2021,2021-01-01,2021-12-31,365,365,1275,744,49,365063,1000.173,901.0,921.0,1185.0,237238990,72.473,117,117,365,27445
2022,2022-01-01,2022-12-31,365,365,1265,743,49,368635,1009.959,915.0,932.0,1187.6,238010092,72.709,117,117,365,21768
2023,2023-01-01,2023-12-31,365,365,1271,747,49,374664,1026.477,930.0,975.0,1181.0,237349068,72.507,117,117,365,20191
2024,2024-01-01,2024-12-31,366,366,1283,752,49,390667,1067.396,995.0,1013.0,1198.0,238509991,72.862,117,117,366,12527
2025,2025-01-01,2025-12-31,365,365,1277,749,49,390222,1069.101,1008.0,1025.0,1190.6,230529491,70.424,117,117,365,24238
2026,2026-01-01,2026-07-18,199,199,1138,681,49,127874,642.583,139.8,815.0,871.0,232926092,71.156,117,117,199,27305
