year,broad_high_aqi_smoke_days_10m,population_days_aqi101plus_millions,residents_exposed_at_least_once_millions,maximum_daily_population_exposed_millions,maximum_exposure_date,counties_exposed_at_least_once
2006,0,0.992,0.555,0.423,2006-09-05,23
2007,0,46.805,28.572,5.533,2007-05-22,153
2008,1,79.481,17.764,11.031,2008-06-26,96
2009,0,0.859,0.51,0.291,2009-09-25,10
2010,0,5.67,5.67,5.576,2010-05-31,32
2011,0,9.847,5.621,2.545,2011-06-15,47
2012,0,16.45,5.06,2.669,2012-09-21,85
2013,0,10.24,2.3,0.884,2013-08-23,42
2014,0,4.89,2.64,0.941,2014-09-22,50
2015,0,49.497,23.298,9.293,2015-07-05,349
2016,1,30.404,23.961,11.419,2016-11-14,188
2017,0,128.197,26.768,9.107,2017-08-03,297
2018,14,251.616,34.705,14.77,2018-11-17,240
2019,0,2.004,1.05,0.353,2019-07-27,26
2020,14,439.813,54.889,44.968,2020-09-14,277
2021,3,216.184,72.752,29.447,2021-07-20,716
2022,0,50.021,16.23,8.35,2022-10-19,170
2023,8,536.296,155.075,88.473,2023-06-29,1646
